GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
1000000US484230001001000,484230001001000,"Block 1000, Block Group 1, Census Tract 1, Smith County, Texas",265,130,14,18,10,10,6,1,1,4,9,4,6,8,9,14,10,0,2,1,0,1,0,1,1,135,17,13,15,3,2,0,3,4,12,7,8,15,10,7,4,3,4,0,1,1,1,3,2
1000000US484230001001001,484230001001001,"Block 1001, Block Group 1, Census Tract 1, Smith County, Texas",84,48,0,3,8,5,1,1,1,1,1,4,3,3,3,4,3,1,2,0,0,3,0,1,0,36,0,2,2,0,2,2,0,1,2,4,1,3,3,5,3,1,0,2,1,0,0,1,1
1000000US484230001001002,484230001001002,"Block 1002, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230001001003,484230001001003,"Block 1003, Block Group 1, Census Tract 1, Smith County, Texas",5,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230001001004,484230001001004,"Block 1004, Block Group 1, Census Tract 1, Smith County, Texas",54,21,1,3,2,0,0,0,1,0,1,4,1,2,0,2,1,3,0,0,0,0,0,0,0,33,1,3,1,1,2,1,1,4,2,1,3,2,3,2,4,0,0,2,0,0,0,0,0
1000000US484230001001005,484230001001005,"Block 1005, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230001001006,484230001001006,"Block 1006, Block Group 1, Census Tract 1, Smith County, Texas",26,13,1,2,2,1,1,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,13,1,3,1,0,0,0,0,0,0,3,2,0,1,1,1,0,0,0,0,0,0,0,0
1000000US484230001001007,484230001001007,"Block 1007, Block Group 1, Census Tract 1, Smith County, Texas",10,5,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1000000US484230001001008,484230001001008,"Block 1008, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230001001009,484230001001009,"Block 1009, Block Group 1, Census Tract 1, Smith County, Texas",202,97,8,16,12,1,7,1,2,4,6,9,5,6,4,6,5,0,1,1,1,1,0,1,0,105,12,15,13,8,1,0,3,2,7,6,11,5,4,4,7,0,1,0,0,2,1,2,1
1000000US484230001001010,484230001001010,"Block 1010, Block Group 1, Census Tract 1, Smith County, Texas",69,32,4,3,5,0,1,0,0,4,2,2,2,1,3,2,1,1,0,0,0,0,0,1,0,37,2,7,5,2,0,0,0,2,0,5,5,2,1,4,1,0,0,1,0,0,0,0,0
1000000US484230001001011,484230001001011,"Block 1011, Block Group 1, Census Tract 1, Smith County, Texas",115,49,4,10,0,1,1,1,1,2,4,0,7,4,0,4,5,1,0,0,1,0,0,1,2,66,7,5,6,2,1,0,0,6,4,4,9,1,1,7,3,0,1,1,1,3,2,1,1
1000000US484230001001012,484230001001012,"Block 1012, Block Group 1, Census Tract 1, Smith County, Texas",55,29,3,4,2,2,1,0,0,0,1,2,1,1,2,2,4,0,0,0,2,1,1,0,0,26,0,3,0,0,0,1,0,1,2,1,2,2,1,7,2,0,0,0,2,2,0,0,0
1000000US484230001001013,484230001001013,"Block 1013, Block Group 1, Census Tract 1, Smith County, Texas",54,24,1,1,1,1,0,0,0,1,2,2,1,0,6,3,2,1,0,0,0,0,2,0,0,30,0,3,1,0,3,0,0,1,3,0,2,2,2,3,1,2,0,2,0,2,2,1,0
1000000US484230001001014,484230001001014,"Block 1014, Block Group 1, Census Tract 1, Smith County, Texas",79,34,3,1,3,1,1,1,0,3,4,0,2,0,0,5,1,2,3,0,1,2,1,0,0,45,0,2,2,5,1,0,0,0,3,1,5,1,1,7,3,4,3,1,1,1,2,0,2
