"geoid","geoid2","name","D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
"484230001001000","1000000US484230001001000","Block 1000, Block Group 1, Census Tract 1, Smith County, Texas",265,127,32,91,0,0,0,0,4,138,45,1,0,0,0,78,14
"484230001001001","1000000US484230001001001","Block 1001, Block Group 1, Census Tract 1, Smith County, Texas",84,21,6,14,0,0,0,0,1,63,43,1,0,0,0,19,0
"484230001001002","1000000US484230001001002","Block 1002, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001001003","1000000US484230001001003","Block 1003, Block Group 1, Census Tract 1, Smith County, Texas",5,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3
"484230001001004","1000000US484230001001004","Block 1004, Block Group 1, Census Tract 1, Smith County, Texas",54,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001001005","1000000US484230001001005","Block 1005, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001001006","1000000US484230001001006","Block 1006, Block Group 1, Census Tract 1, Smith County, Texas",26,9,2,7,0,0,0,0,0,17,8,0,0,0,0,9,0
"484230001001007","1000000US484230001001007","Block 1007, Block Group 1, Census Tract 1, Smith County, Texas",10,7,0,7,0,0,0,0,0,3,0,0,0,0,0,3,0
"484230001001008","1000000US484230001001008","Block 1008, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001001009","1000000US484230001001009","Block 1009, Block Group 1, Census Tract 1, Smith County, Texas",202,81,16,56,0,8,0,0,1,121,48,0,0,0,0,58,15
"484230001001010","1000000US484230001001010","Block 1010, Block Group 1, Census Tract 1, Smith County, Texas",69,15,0,15,0,0,0,0,0,54,21,0,0,0,0,30,3
"484230001001011","1000000US484230001001011","Block 1011, Block Group 1, Census Tract 1, Smith County, Texas",115,67,14,53,0,0,0,0,0,48,30,0,0,0,0,15,3
"484230001001012","1000000US484230001001012","Block 1012, Block Group 1, Census Tract 1, Smith County, Texas",55,41,8,33,0,0,0,0,0,14,14,0,0,0,0,0,0
"484230001001013","1000000US484230001001013","Block 1013, Block Group 1, Census Tract 1, Smith County, Texas",54,39,5,32,0,0,0,0,2,15,3,0,0,0,0,12,0
"484230001001014","1000000US484230001001014","Block 1014, Block Group 1, Census Tract 1, Smith County, Texas",79,78,9,66,0,0,0,0,3,1,0,0,0,0,0,0,1
"484230001001015","1000000US484230001001015","Block 1015, Block Group 1, Census Tract 1, Smith County, Texas",109,32,7,25,0,0,0,0,0,77,26,0,5,0,0,42,4
"484230001001016","1000000US484230001001016","Block 1016, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001001017","1000000US484230001001017","Block 1017, Block Group 1, Census Tract 1, Smith County, Texas",93,31,11,19,0,0,0,1,0,62,22,0,0,0,0,40,0
"484230001001018","1000000US484230001001018","Block 1018, Block Group 1, Census Tract 1, Smith County, Texas",186,76,12,60,0,0,0,0,4,110,38,0,6,0,0,63,3
"484230001001019","1000000US484230001001019","Block 1019, Block Group 1, Census Tract 1, Smith County, Texas",80,49,16,33,0,0,0,0,0,31,5,0,0,0,0,23,3
"484230001001020","1000000US484230001001020","Block 1020, Block Group 1, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
